;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025;SG_UF_ESC;SG_UF_PROVA;TP_LINGUA;TP_SEXO;IN_TREINEIRO;TP_ANO_CONCLUIU;TP_COR_RACA;TP_DEPENDENCIA_ADM_ESC;TP_ENSINO;TP_ESCOLA;TP_ESTADO_CIVIL;TP_FAIXA_ETARIA;TP_LOCALIZACAO_ESC;TP_NACIONALIDADE;TP_SIT_FUNC_ESC;TP_ST_CONCLUSAO
1315461;G;G;D;D;4;Q;A;C;C;B;A;B;B;B;A;B;A;B;C;A;B;D;B;D;B;;SP;0;F;1;;1.0;;;;1.0;2;;1.0;;3
1167278;B;F;A;C;5;I;A;C;D;B;A;B;B;B;B;A;A;B;B;A;A;E;A;A;B;;RS;0;F;0;;1.0;;1.0;2.0;1.0;3;;1.0;;2
124840;B;E;A;A;1;A;A;B;B;A;A;A;A;A;A;A;A;A;A;A;A;B;A;A;A;;BA;0;F;0;2.0;3.0;;;;1.0;4;;1.0;;1
2518117;G;G;D;E;3;J;A;C;D;B;B;C;A;B;B;B;B;B;D;A;B;D;A;D;B;;RS;0;M;1;;1.0;;;;1.0;1;;1.0;;3
529281;D;E;D;B;4;D;A;C;D;B;B;B;B;B;A;B;A;A;B;A;A;C;A;B;B;;SP;0;F;0;;1.0;;1.0;2.0;1.0;2;;1.0;;2
2327444;C;E;A;A;4;B;A;B;D;A;B;B;A;A;A;A;A;A;B;A;A;E;A;B;B;;BA;1;F;0;2.0;3.0;;;;1.0;3;;1.0;;1
772642;A;C;A;B;2;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;B;;PB;0;M;0;;3.0;;;;1.0;11;;1.0;;1
2500894;B;B;A;A;2;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;C;A;A;A;;PB;1;M;0;;3.0;;1.0;2.0;1.0;3;;1.0;;2
2119378;G;G;D;D;3;H;A;E;C;C;A;B;A;B;A;B;A;B;C;B;A;D;B;A;B;;SP;0;F;0;1.0;1.0;;;;1.0;3;;1.0;;1
2048666;D;E;A;A;4;C;A;B;C;A;B;B;A;B;A;B;A;A;B;A;A;C;A;A;B;PR;PR;1;F;0;;1.0;2.0;1.0;2.0;1.0;3;1.0;1.0;1.0;2
2103620;B;B;A;A;3;C;A;B;D;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;B;;BA;0;M;0;;3.0;;1.0;2.0;1.0;3;;1.0;;2
431921;A;B;A;B;7;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;A;;PA;0;F;0;4.0;3.0;;;;1.0;9;;1.0;;1
350524;F;B;E;B;4;C;A;B;C;A;A;B;A;B;A;B;A;A;B;A;A;C;A;A;B;;SP;0;F;0;2.0;1.0;;;;1.0;4;;1.0;;1
1570778;E;C;A;A;4;B;A;B;D;B;A;B;B;B;A;B;A;A;B;A;A;B;A;B;B;;GO;0;F;1;;1.0;;;;1.0;1;;1.0;;3
751750;E;G;C;D;4;F;A;B;C;B;B;B;B;B;A;B;A;A;B;A;A;D;A;B;B;;GO;1;M;0;;3.0;;1.0;2.0;1.0;2;;1.0;;2
1830594;D;G;D;D;4;J;B;E;E;C;A;C;B;B;A;B;B;B;E;B;B;E;B;E;B;;CE;0;F;1;;1.0;;;;1.0;1;;1.0;;3
1722115;F;C;;B;3;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;C;A;A;B;;PI;0;M;0;;3.0;;;;1.0;10;;1.0;;1
169380;E;E;B;C;3;B;A;C;D;A;A;B;A;B;A;A;A;A;B;B;A;D;A;A;B;;PI;0;F;0;;2.0;;1.0;2.0;1.0;2;;1.0;;2
1346483;F;E;D;B;4;E;A;C;D;B;A;B;A;B;A;B;A;A;B;A;A;E;A;B;B;;SE;1;M;0;4.0;3.0;;;;1.0;6;;1.0;;1
745167;B;A;A;B;3;C;A;B;C;A;A;B;B;A;A;A;A;A;B;A;B;D;A;A;B;SP;SP;0;F;0;;3.0;2.0;1.0;2.0;1.0;2;1.0;1.0;1.0;2
2096580;C;B;D;B;3;E;A;C;C;A;B;B;B;B;B;B;A;A;C;A;A;D;A;A;B;;MG;0;M;0;2.0;1.0;;;;1.0;5;;1.0;;1
1288324;F;E;D;D;4;G;A;C;D;B;A;B;B;B;A;B;A;A;C;A;A;E;B;C;B;MG;MG;0;F;0;;1.0;1.0;1.0;2.0;1.0;3;1.0;1.0;1.0;2
2231537;;E;;;2;B;A;B;B;A;A;B;A;B;A;B;A;A;B;A;A;A;A;A;B;;MG;1;F;0;;1.0;;;;1.0;5;;1.0;;1
2096090;C;C;B;B;8;C;A;B;C;A;A;B;A;B;A;A;A;A;C;A;A;D;A;A;B;;PI;0;M;0;8.0;3.0;;;;1.0;10;;1.0;;1
1230899;F;F;;B;2;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;C;A;B;B;;PE;0;M;0;;1.0;;1.0;2.0;1.0;3;;1.0;;2
572889;C;C;A;A;3;C;A;B;E;C;A;B;B;A;A;B;A;B;B;B;A;D;A;A;B;;RS;1;M;0;;1.0;;;;1.0;6;;1.0;;1
1830643;B;E;C;C;5;G;A;C;C;C;C;B;B;B;B;B;A;A;B;A;A;B;B;B;B;SP;SP;0;M;0;;1.0;2.0;1.0;2.0;1.0;4;2.0;1.0;1.0;2
1866920;E;E;C;B;4;F;A;B;D;B;B;B;B;B;A;B;A;B;C;A;B;E;B;B;B;;PR;0;M;0;;1.0;;1.0;2.0;1.0;2;;1.0;;2
949507;E;F;;D;4;F;A;B;C;B;B;B;A;B;A;A;A;B;B;A;A;E;A;B;B;;MG;0;M;0;6.0;3.0;;;;1.0;8;;1.0;;1
903882;F;E;E;D;4;E;A;D;E;D;A;B;B;B;A;A;A;B;E;A;B;E;A;D;B;;ES;0;M;0;17.0;1.0;;;;1.0;15;;1.0;;1
1196199;E;E;D;B;1;A;A;B;B;A;A;B;B;B;A;B;A;A;B;A;A;B;A;B;B;;RJ;0;M;0;3.0;1.0;;;;1.0;7;;1.0;;1
